
===== 412 =====
role	font	size	wt	lh	tracking	w	h
step p	Helvetica	13px	400	18.85px (1.450)	normal (0)	255	57
step code	ui-monospace	12px	400	17.4px (1.450)	normal (0)	87	16
spec k	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	145	22
spec v	Helvetica	15px	400	21.75px (1.450)	normal (0)	431	22
spec v code	ui-monospace	13px	400	18.85px (1.450)	normal (0)	135	17
prize pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	23	13
prize amt	Helvetica	58px	700	58px (1.000)	-3.19px (-0.0550em)	323	58
prize amt em	Helvetica	19.72px	700	19.72px (1.000)	-3.19px (-0.1618em)	31	23
prize p	Helvetica	13px	400	18.85px (1.450)	normal (0)	323	38
tcell pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	28	13
tcell d	Helvetica	26px	700	37.7px (1.450)	-1.04px (-0.0400em)	327	38
tcell p	Helvetica	13px	400	18.85px (1.450)	normal (0)	327	19
faq summary	Helvetica	16px	700	23.2px (1.450)	-0.32px (-0.0200em)	1240	23
faq p	Helvetica	14.5px	400	21.025px (1.450)	normal (0)	468	42
btn	fourzerofourpixel	12px	400	17.4px (1.450)	0.72px (0.0600em)	133	47
footer a	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	41	16
footer pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	47	16
judging p.pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	287	17

===== 1440_entries =====
role	font	size	wt	lh	tracking	w	h
e h1	Helvetica	96px	700	80.64px (0.840)	-5.28px (-0.0550em)	1240	81
e lab	fourzerofourpixel	11px	400	15.95px (1.450)	1.1px (0.1000em)	287	16
e g	Helvetica	16px	400	23.2px (1.450)	normal (0)	516	46
filters lbl	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	22	15
chip	fourzerofourpixel	10px	400	normal (normal)	0.5px (0.0500em)	33	28
card h3	Helvetica	19px	700	19px (1.000)	-0.665px (-0.0350em)	382	19
card by	fourzerofourpixel	10px	400	14.5px (1.450)	0.5px (0.0500em)	382	15
card found	Helvetica	13.5px	400	18.9px (1.400)	normal (0)	382	71
found b	fourzerofourpixel	9px	400	12.6px (1.400)	0.63px (0.0700em)	382	13
badge	fourzerofourpixel	9px	400	13.05px (1.450)	0.45px (0.0500em)	53	21
cact a	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	207	35
tag	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	126	21
empty	fourzerofourpixel	11px	400	15.95px (1.450)	0.77px (0.0700em)	0	0

===== 1280_entries =====
role	font	size	wt	lh	tracking	w	h
e h1	Helvetica	96px	700	80.64px (0.840)	-5.28px (-0.0550em)	1240	81
e lab	fourzerofourpixel	11px	400	15.95px (1.450)	1.1px (0.1000em)	287	16
e g	Helvetica	16px	400	23.2px (1.450)	normal (0)	516	46
filters lbl	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	22	15
chip	fourzerofourpixel	10px	400	normal (normal)	0.5px (0.0500em)	33	28
card h3	Helvetica	19px	700	19px (1.000)	-0.665px (-0.0350em)	382	19
card by	fourzerofourpixel	10px	400	14.5px (1.450)	0.5px (0.0500em)	382	15
card found	Helvetica	13.5px	400	18.9px (1.400)	normal (0)	382	71
found b	fourzerofourpixel	9px	400	12.6px (1.400)	0.63px (0.0700em)	382	13
badge	fourzerofourpixel	9px	400	13.05px (1.450)	0.45px (0.0500em)	53	21
cact a	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	207	35
tag	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	126	21
empty	fourzerofourpixel	11px	400	15.95px (1.450)	0.77px (0.0700em)	0	0

===== 1024_entries =====
role	font	size	wt	lh	tracking	w	h
e h1	Helvetica	81.92px	700	68.8128px (0.840)	-4.5056px (-0.0550em)	984	69
e lab	fourzerofourpixel	11px	400	15.95px (1.450)	1.1px (0.1000em)	287	16
e g	Helvetica	16px	400	23.2px (1.450)	normal (0)	516	46
filters lbl	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	22	15
chip	fourzerofourpixel	10px	400	normal (normal)	0.5px (0.0500em)	33	28
card h3	Helvetica	19px	700	19px (1.000)	-0.665px (-0.0350em)	461	19
card by	fourzerofourpixel	10px	400	14.5px (1.450)	0.5px (0.0500em)	461	15
card found	Helvetica	13.5px	400	18.9px (1.400)	normal (0)	461	52
found b	fourzerofourpixel	9px	400	12.6px (1.400)	0.63px (0.0700em)	461	13
badge	fourzerofourpixel	9px	400	13.05px (1.450)	0.45px (0.0500em)	53	21
cact a	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	246	35
tag	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	126	21
empty	fourzerofourpixel	11px	400	15.95px (1.450)	0.77px (0.0700em)	0	0

===== 768_entries =====
role	font	size	wt	lh	tracking	w	h
e h1	Helvetica	61.44px	700	51.6096px (0.840)	-3.3792px (-0.0550em)	728	52
e lab	fourzerofourpixel	11px	400	15.95px (1.450)	1.1px (0.1000em)	287	16
e g	Helvetica	16px	400	23.2px (1.450)	normal (0)	516	46
filters lbl	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	22	15
chip	fourzerofourpixel	10px	400	normal (normal)	0.5px (0.0500em)	33	28
card h3	Helvetica	19px	700	19px (1.000)	-0.665px (-0.0350em)	333	19
card by	fourzerofourpixel	10px	400	14.5px (1.450)	0.5px (0.0500em)	333	15
card found	Helvetica	13.5px	400	18.9px (1.400)	normal (0)	333	71
found b	fourzerofourpixel	9px	400	12.6px (1.400)	0.63px (0.0700em)	333	13
badge	fourzerofourpixel	9px	400	13.05px (1.450)	0.45px (0.0500em)	53	21
cact a	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	182	35
tag	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	126	21
empty	fourzerofourpixel	11px	400	15.95px (1.450)	0.77px (0.0700em)	0	0

===== 412_entries =====
role	font	size	wt	lh	tracking	w	h
e h1	Helvetica	40px	700	33.6px (0.840)	-2.2px (-0.0550em)	372	34
e lab	fourzerofourpixel	11px	400	15.95px (1.450)	1.1px (0.1000em)	287	16
e g	Helvetica	16px	400	23.2px (1.450)	normal (0)	372	70
filters lbl	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	22	15
chip	fourzerofourpixel	10px	400	normal (normal)	0.5px (0.0500em)	33	28
card h3	Helvetica	19px	700	19px (1.000)	-0.665px (-0.0350em)	340	19
card by	fourzerofourpixel	10px	400	14.5px (1.450)	0.5px (0.0500em)	340	15
card found	Helvetica	13.5px	400	18.9px (1.400)	normal (0)	340	71
found b	fourzerofourpixel	9px	400	12.6px (1.400)	0.63px (0.0700em)	340	13
badge	fourzerofourpixel	9px	400	13.05px (1.450)	0.45px (0.0500em)	53	21
cact a	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	186	35
tag	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	126	21
empty	fourzerofourpixel	11px	400	15.95px (1.450)	0.77px (0.0700em)	0	0
